Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
0437426;25622391;BERTOLT BRECHT;Secundaria;Privada;Particular;FLORES SURCO SEPHORA AVELINA;Activo;AVENIDA COLONIAL 2798;Lima;Lima;No aplica;Continuo sólo en la mañana;514;29;15
0334656;22391925;0040 HIPOLITO UNANUE;Secundaria;Pública de gestión directa;Sector Educación;LOZANO GUERRA MARIA;Activo;AVENIDA ELVIRA GARCIA Y GARCIA S/N;Lima;Lima;No aplica;Continuo sólo en la mañana;1120;83;37
0334730;22125044;PNP CAP. ALIPIO PONCE VASQUEZ;Secundaria;Pública de gestión directa;Otro sector público (FF.AA.);AMADO QUEVEDO JORGE LUIS;Activo;AVENIDA SEBASTIAN LORENTE 769;Lima;Lima;No aplica;Continuo sólo en la mañana;384;18;16
0334748;21564877;PNP TUPAC AMARU;Secundaria;Pública de gestión directa;Otro sector público (FF.AA.);VILCARROMERO SANCHEZ PEDRO ALEX;Activo;AVENIDA SEBASTIAN LORENTE 731;Lima;Lima;No aplica;Continuo mañana y tarde;485;23;17
0336495;22375271;NUESTRA SEÑORA DE GUADALUPE;Secundaria;Pública de gestión directa;Sector Educación;MARCHAN COZ HILMER CARLOS;Activo;AVENIDA ALFONSO UGARTE 1227;Lima;Lima;No aplica;Continuo sólo en la mañana;1367;106;51
0336511;22392425;105 PEDRO CORONADO ARRASCUE;Secundaria;Pública de gestión directa;Sector Educación;REQUIS QUISPE VICTOR RUFINO;Activo;AVENIDA ALFONSO UGARTE 120;Lima;Lima;No aplica;Continuo sólo en la mañana;269;18;10
0336537;21485837;NUESTRA SEÑORA DE MONTSERRAT;Secundaria;Pública de gestión directa;Sector Educación;HUAMAN ESTEBAN NORMA JUSTINA;Activo;JIRON CONDE DE SUPERUNDA 466;Lima;Lima;No aplica;Continuo mañana y tarde;522;42;28
0336560;22121243;1148 JUANA INFANTES VERA;Secundaria;Pública de gestión directa;Sector Educación;SEGOVIA VASQUEZ RAUL;Activo;BLOCK 52 A;Lima;Lima;No aplica;Continuo sólo en la mañana;460;26;15
0336594;22507109;JUAN PABLO VIZCARDO Y GUZMAN;Secundaria;Pública de gestión directa;Sector Educación;PIZARRO SANTIAGO ELENA;Activo;AVENIDA NICOLAS DUEÑAS 555;Lima;Lima;No aplica;Continuo sólo en la mañana;837;61;28
0336602;22506374;1166 LIBERTADOR SIMON BOLIVAR;Secundaria;Pública de gestión directa;Sector Educación;SANTILLAN JIMENEZ HUBER ESTEBAN;Activo;JIRON RAMON CARCAMO 195;Lima;Lima;No aplica;Continuo sólo en la mañana;224;18;10
0336883;25306651;FRAY LUIS DE LEON;Secundaria;Privada;Particular;CADILLO PEREZ YULY;Activo;JIRON JUAN OLAECHEA ARNAO 1381;Lima;Lima;No aplica;Continuo sólo en la mañana;101;11;5
0336990;21554553;LIMA SAN CARLOS;Secundaria;Privada;Particular;TAFUR PALACIOS SILVIA HANNA;Activo;AVENIDA URUGUAY 384-390;Lima;Lima;No aplica;Continuo sólo en la mañana;9;9;4
0337030;24604675;ASOCIACION COLEGIO MARIA ALVARADO;Secundaria;Privada;Particular;NARAZA CORDOVA NINOSHKA DEL ROCÍO;Activo;AVENIDA 28 DE JULIO 249;Lima;Lima;No aplica;Continuo sólo en la mañana;319;29;11
0337238;24607569;SAN ANDRES;Secundaria;Privada;Particular;CERNA ANAYA ANA MARIA;Activo;AVENIDA PETIT THOUARS 179;Lima;Lima;No aplica;Continuo sólo en la mañana;0;0;0
0337253;21565377;SANTA ISABEL DE HUNGRIA;Secundaria;Privada;Particular;OCHOA ROJAS CRISTINA MARIA;Activo;AVENIDA NACIONES UNIDAS 1678;Lima;Lima;No aplica;Continuo sólo en la mañana;217;24;9
0337287;21581860;SANTO TOMAS DE AQUINO;Secundaria;Privada;Particular;GARCIA MANRIQUE GIOVANNI MILDRED;Activo;CALLE RINCONADA DE SANTO DOMINGO 209;Lima;Lima;No aplica;Continuo sólo en la mañana;220;15;10
0337295;22513206;SANTA MARIA REYNA;Secundaria;Privada;Particular;ECHEVARRIA GARCIA JOAQUIN JACOBO;Activo;JIRON JUNIN 1038;Lima;Lima;No aplica;Continuo sólo en la mañana;0;0;0
0337303;;SEÑOR DE LA MISERICORDIA;Secundaria;Privada;Comunidad o asociación religiosa;RAMIREZ PALACIOS GLADYS TULA;Activo;JIRON JUNIN 1458;Lima;Lima;No aplica;Continuo sólo en la mañana;313;14;11
0337568;22507028;ARGENTINA;Secundaria;Pública de gestión directa;Sector Educación;LEVA RAMOS JULIA PETRONILA;Activo;AVENIDA ALFONSO UGARTE 1011;Lima;Lima;No aplica;Continuo mañana y tarde;1281;83;51
0337592;22506862;25 NUESTRA SEÑORA DE LA INMACULADA CONCEPCION;Secundaria;Pública de gestión directa;Sector Educación;PERALTA VASQUEZ FLOR MARITZA;Activo;JIRON JUNIN 1238;Lima;Lima;No aplica;Continuo sólo en la mañana;279;16;10
0337741;21364304;022 REPUBLICA DE GUATEMALA;Secundaria;Pública de gestión directa;Sector Educación;COSME GARCILAZO RAYDA ISABEL;Activo;JIRON MANUEL PARDO 225;Lima;Lima;No aplica;Continuo sólo en la mañana;277;28;10
