VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,VC9,VC10,VC11,VC12,VC13,VC14,VC15,VC16,VC17,VC18,VC19,VC20,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,VD_puntaje_total,DP_puntaje_tot,VD_niveles,DP_niveles,DP_conductual,DP_actitudinal,DP_intelectual,DP_conductual_niveles,DP_actitudinal_niveles,DP_intelectual_niveles,VD_autorrealizacion,VD_compromiso,VD_satisfacción,VD_identidad_docente,VD_autorrealizacion_niveles,VD_compromiso_niveles,VD_satisfaccion_niveles,VD_indentidad_niveles
1,4,3,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,4,5,5,5,5,5,4,4,4,5,4,4,84,96,4,5,33,28,35,4,5,5,12,24,28,20,3,4,5,5
5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,4,4,4,5,4,4,5,86,100,5,5,39,27,34,5,5,5,17,24,28,17,5,4,5,5
3,5,4,5,4,4,4,4,5,5,5,5,5,4,5,4,4,5,5,4,4,4,4,5,5,5,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4,89,94,5,5,35,26,33,5,5,4,17,26,28,18,5,5,5,5
2,4,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,78,91,4,4,33,25,33,4,4,4,12,25,25,16,3,4,4,4
3,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,83,93,4,5,34,26,33,5,5,4,15,26,25,17,4,5,4,5
5,5,5,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,87,91,5,4,32,25,34,4,4,5,19,26,26,16,5,5,5,4
5,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,84,90,4,4,33,25,32,4,4,4,18,25,25,16,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,3,4,5,100,94,5,5,33,25,36,4,4,5,20,30,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,106,5,5,36,30,40,5,5,5,20,30,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,100,96,5,5,32,24,40,4,4,5,20,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,108,4,5,38,30,40,5,5,5,16,24,24,16,4,4,4,4
1,4,4,4,4,4,2,4,5,3,5,5,5,4,4,5,4,5,4,5,4,5,5,2,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,4,81,101,4,5,34,29,38,5,5,5,13,22,28,18,3,4,5,5
5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,4,5,4,4,4,4,3,5,4,4,4,4,5,5,5,4,5,94,95,5,5,35,24,36,5,4,5,20,25,29,20,5,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,80,94,4,5,32,26,36,4,5,5,16,24,24,16,4,4,4,4
4,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,5,5,5,92,98,5,5,39,25,34,5,4,5,12,30,30,20,3,5,5,5
5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,83,82,4,4,30,22,30,4,4,4,18,25,24,16,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,104,5,5,34,30,40,5,5,5,20,30,30,20,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,2,3,3,5,5,5,5,5,5,4,99,91,5,4,33,21,37,4,4,5,19,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,88,106,5,5,37,29,40,5,5,5,16,24,28,20,4,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,88,5,4,32,24,32,4,4,4,20,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,78,85,4,4,32,24,29,4,4,4,16,24,23,15,4,4,4,4
